Total configs: 1651
Building features...
Loading ML odds...
  [932] win=66.0% bets=732 ROI=+27.9%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [933] win=65.8% bets=733 ROI=+27.4%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [934] win=66.0% bets=749 ROI=+27.8%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'trank_adjD_diff']
  [935] win=65.4% bets=749 ROI=+26.8%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'off_eff_r10_diff']
  [936] win=65.7% bets=755 ROI=+27.3%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjO_diff', 'def_eff_r10_diff']
  [937] win=65.5% bets=745 ROI=+27.0%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff', 'off_eff_r10_diff']
  [938] win=65.6% bets=751 ROI=+27.2%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'trank_adjD_diff', 'def_eff_r10_diff']
  [939] win=65.3% bets=752 ROI=+26.5%  ['elo_diff', 'massey_avg_diff', 'margin_mean_diff', 'off_eff_r10_diff', 'def_eff_r10_diff']
  [940] win=66.1% bets=734 ROI=+28.1%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'conf_elo_diff']
  [941] win=65.2% bets=748 ROI=+26.5%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'trank_adjO_diff']
  [942] win=65.7% bets=744 ROI=+27.4%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'trank_adjD_diff']
  [943] win=65.4% bets=746 ROI=+26.9%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'off_eff_r10_diff']
  [944] win=66.0% bets=751 ROI=+28.1%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'sos_diff', 'def_eff_r10_diff']
  [945] win=66.2% bets=742 ROI=+28.2%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjO_diff']
  [946] win=66.2% bets=743 ROI=+28.3%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'trank_adjD_diff']
  [947] win=66.4% bets=732 ROI=+28.7%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'off_eff_r10_diff']
  [948] win=66.0% bets=743 ROI=+27.8%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'conf_elo_diff', 'def_eff_r10_diff']
  [949] win=65.4% bets=766 ROI=+26.8%  ['elo_diff', 'massey_avg_diff', 'barthag_diff', 'trank_adjO_diff', 'trank_adjD_diff']
